"participant","contact","period","estcon"
34,80,"2. Lockdown 1 easing",0.214110215
44,80,"2. Lockdown 1 easing",0.407699875
54,80,"2. Lockdown 1 easing",0.387637834
64,80,"2. Lockdown 1 easing",0.2939266
80,80,"2. Lockdown 1 easing",0.37887602
4,4,"3. Relaxed restrictions",0.801021534
14,4,"3. Relaxed restrictions",0.687147396
24,4,"3. Relaxed restrictions",0.211237184
34,4,"3. Relaxed restrictions",0.37650662
44,4,"3. Relaxed restrictions",0.616173822
54,4,"3. Relaxed restrictions",0.39550823
64,4,"3. Relaxed restrictions",0.158047389
80,4,"3. Relaxed restrictions",0.165992884
4,14,"3. Relaxed restrictions",0.469992271
14,14,"3. Relaxed restrictions",1.1587138715
24,14,"3. Relaxed restrictions",0.566210211
34,14,"3. Relaxed restrictions",0.290239283
44,14,"3. Relaxed restrictions",0.4002024515
54,14,"3. Relaxed restrictions",0.580284725
64,14,"3. Relaxed restrictions",0.328938292
80,14,"3. Relaxed restrictions",0.155266755
4,24,"3. Relaxed restrictions",0.963785723
14,24,"3. Relaxed restrictions",1.173179944
24,24,"3. Relaxed restrictions",0.749608726
34,24,"3. Relaxed restrictions",1.513729218
44,24,"3. Relaxed restrictions",1.040968337
54,24,"3. Relaxed restrictions",0.865868372
64,24,"3. Relaxed restrictions",0.925650251
80,24,"3. Relaxed restrictions",0.678535854
4,34,"3. Relaxed restrictions",1.459387197
14,34,"3. Relaxed restrictions",1.413221933
24,34,"3. Relaxed restrictions",0.557033812
34,34,"3. Relaxed restrictions",0.96315667
44,34,"3. Relaxed restrictions",1.140122054
54,34,"3. Relaxed restrictions",0.862634723
64,34,"3. Relaxed restrictions",0.673770879
80,34,"3. Relaxed restrictions",0.622716875
4,44,"3. Relaxed restrictions",0.867132311
14,44,"3. Relaxed restrictions",1.960052207
24,44,"3. Relaxed restrictions",1.04980253
34,44,"3. Relaxed restrictions",0.741607048
44,44,"3. Relaxed restrictions",0.79852679
54,44,"3. Relaxed restrictions",0.958877584
64,44,"3. Relaxed restrictions",0.745833052
80,44,"3. Relaxed restrictions",0.526023816
4,54,"3. Relaxed restrictions",0.369434549
14,54,"3. Relaxed restrictions",1.232065921
24,54,"3. Relaxed restrictions",0.861525199
34,54,"3. Relaxed restrictions",0.845257889
44,54,"3. Relaxed restrictions",0.6649594
54,54,"3. Relaxed restrictions",0.795173618
64,54,"3. Relaxed restrictions",0.917412533
80,54,"3. Relaxed restrictions",0.673124663
4,64,"3. Relaxed restrictions",0.30820645
14,64,"3. Relaxed restrictions",0.44015777
24,64,"3. Relaxed restrictions",0.218809585
34,64,"3. Relaxed restrictions",0.492172316
44,64,"3. Relaxed restrictions",0.488175071
54,64,"3. Relaxed restrictions",0.445479594
64,64,"3. Relaxed restrictions",0.534684474
80,64,"3. Relaxed restrictions",0.80988173
4,80,"3. Relaxed restrictions",0.177401893
14,80,"3. Relaxed restrictions",0.499365319
24,80,"3. Relaxed restrictions",0.241801211
34,80,"3. Relaxed restrictions",0.413921494
44,80,"3. Relaxed restrictions",0.427060264
54,80,"3. Relaxed restrictions",0.444867155
64,80,"3. Relaxed restrictions",0.507348804
80,80,"3. Relaxed restrictions",0.603989905
4,4,"4. School reopening",1.563197595
14,4,"4. School reopening",3.121090468
24,4,"4. School reopening",1.606908488
34,4,"4. School reopening",0.379863606
44,4,"4. School reopening",0.746244717
54,4,"4. School reopening",0.477986064
64,4,"4. School reopening",0.216611958
80,4,"4. School reopening",0.148167018
4,14,"4. School reopening",2.035760366
14,14,"4. School reopening",7.541089159
24,14,"4. School reopening",3.8578149915
34,14,"4. School reopening",0.480246932
44,14,"4. School reopening",0.602854722
54,14,"4. School reopening",0.7946745505
64,14,"4. School reopening",0.4832280625
80,14,"4. School reopening",0.1992080595
4,24,"4. School reopening",0.972378972
14,24,"4. School reopening",1.959859873
24,24,"4. School reopening",1.329500024
34,24,"4. School reopening",1.214308672
44,24,"4. School reopening",0.803149879
54,24,"4. School reopening",0.682917704
64,24,"4. School reopening",0.714882998
80,24,"4. School reopening",0.554927361
4,34,"4. School reopening",1.767455785
14,34,"4. School reopening",2.15607835
24,34,"4. School reopening",0.969320921
34,34,"4. School reopening",0.743114979
44,34,"4. School reopening",0.923814512
54,34,"4. School reopening",0.737138139
64,34,"4. School reopening",0.540462609
80,34,"4. School reopening",0.512790869
4,44,"4. School reopening",1.0479609
14,44,"4. School reopening",2.702839312
24,44,"4. School reopening",1.526745081
34,44,"4. School reopening",0.584911747
44,44,"4. School reopening",0.682356664
54,44,"4. School reopening",0.849339133
64,44,"4. School reopening",0.659007968
80,44,"4. School reopening",0.433742449
4,54,"4. School reopening",0.506328774
14,54,"4. School reopening",1.801195333
24,54,"4. School reopening",1.223669849
34,54,"4. School reopening",0.65279569
44,54,"4. School reopening",0.533394516
54,54,"4. School reopening",0.702604623
64,54,"4. School reopening",0.775142536
80,54,"4. School reopening",0.586006251
4,64,"4. School reopening",0.275108362
